id,provider_id,name,era,seasons,regular_games,regular_ppg,regular_rpg,regular_apg,regular_spg,regular_bpg,regular_fg_pct,regular_three_pct,regular_ft_pct,playoff_games,playoff_ppg,playoff_rpg,playoff_apg,playoff_spg,playoff_bpg,playoff_fg_pct,playoff_three_pct,playoff_ft_pct,mvp,all_nba,dpoy,championships,finals_mvp,award_source,record_source,image_license
howard-dwight,2730,Dwight Howard,2010s,18,1242,15.7,11.8,1.3,0.9,1.8,58.7,21.4,56.7,125,15.3,11.8,1.2,0.8,2.0,58.9,14.3,54.8,0,8,3,1,0,https://www.nba.com/stats/player/2730/awards,https://www.nba.com/stats/player/2730/traditional?PerMode=Totals,NBA.com CDN public-source development import.
gasol-pau,2200,Pau Gasol,2000s,18,1226,17.0,9.2,3.2,0.5,1.6,50.7,36.8,75.3,136,15.4,9.2,3.2,0.5,1.7,50.7,29.7,74.1,0,4,0,2,0,https://www.nba.com/stats/player/2200/awards,https://www.nba.com/stats/player/2200/traditional?PerMode=Totals,NBA.com CDN public-source development import.
parker-tony,2225,Tony Parker,2000s,18,1254,15.5,2.7,5.6,0.8,0.1,49.1,32.4,75.1,226,17.9,2.9,5.1,0.9,0.1,46.1,30.9,73.1,0,4,0,4,1,https://www.nba.com/stats/player/2225/awards,https://www.nba.com/stats/player/2225/traditional?PerMode=Totals,NBA.com CDN public-source development import.
ginobili-manu,1938,Manu Ginóbili,2000s,16,1057,13.3,3.5,3.8,1.3,0.3,44.7,36.9,82.7,218,14.0,4.0,3.8,1.3,0.3,43.3,35.8,81.7,0,2,0,4,0,https://www.nba.com/stats/player/1938/awards,https://www.nba.com/stats/player/1938/traditional?PerMode=Totals,NBA.com CDN public-source development import.
carter-vince,1713,Vince Carter,2000s,22,1541,16.7,4.3,3.1,1.0,0.6,43.5,37.1,79.8,88,18.1,5.4,3.4,1.1,0.5,41.6,33.8,79.6,0,2,0,0,0,https://www.nba.com/stats/player/1713/awards,https://www.nba.com/stats/player/1713/traditional?PerMode=Totals,NBA.com CDN public-source development import.
mcgrady-tracy,1503,Tracy McGrady,2000s,15,938,19.6,5.6,4.4,1.2,0.9,43.5,33.8,74.6,50,22.2,5.7,5.0,1.1,0.9,42.6,29.0,75.7,0,7,0,0,0,https://www.nba.com/stats/player/1503/awards,https://www.nba.com/stats/player/1503/traditional?PerMode=Totals,NBA.com CDN public-source development import.
english-alex,76673,Alex English,1980s,15,1193,21.5,5.5,3.6,0.9,0.7,50.7,21.7,83.2,68,24.4,5.5,4.3,0.7,0.5,50.3,0.0,86.2,0,3,0,0,0,https://www.nba.com/stats/player/76673/awards,https://www.nba.com/stats/player/76673/traditional?PerMode=Totals,"Wikimedia Commons public domain, U.S. Department of State; https://commons.wikimedia.org/wiki/File:Alex_English,_Visitante_Ilustre_(14935074624)_(cropped).jpg"
gilmore-artis,600014,Artis Gilmore,1980s,12,909,17.1,10.1,2.0,0.5,1.9,59.9,7.7,71.3,42,11.7,8.0,1.1,0.6,1.7,56.8,,68.0,0,0,0,0,0,https://www.nba.com/stats/player/600014/awards,https://www.nba.com/stats/player/600014/traditional?PerMode=Totals,NBA.com CDN public-source development import.
king-bernard,77264,Bernard King,1980s,14,874,22.5,5.8,3.3,1.0,0.3,51.8,17.2,73.0,28,24.5,4.3,2.3,0.9,0.2,55.9,25.0,72.9,0,4,0,0,0,https://www.nba.com/stats/player/77264/awards,https://www.nba.com/stats/player/77264/traditional?PerMode=Totals,NBA.com CDN public-source development import.
dantley-adrian,76504,Adrian Dantley,1980s,15,955,24.3,5.7,3.0,1.0,0.2,54.0,17.1,81.8,73,21.3,5.4,2.3,0.9,0.1,52.5,0.0,79.6,0,2,0,0,0,https://www.nba.com/stats/player/76504/awards,https://www.nba.com/stats/player/76504/traditional?PerMode=Totals,NBA.com CDN public-source development import.
mutombo-dikembe,87,Dikembe Mutombo,1990s,18,1196,9.8,10.3,1.0,0.4,2.8,51.8,0.0,68.4,101,9.1,9.5,0.8,0.4,2.5,51.7,0.0,70.3,0,3,4,0,0,https://www.nba.com/stats/player/87/awards,https://www.nba.com/stats/player/87/traditional?PerMode=Totals,NBA.com CDN public-source development import.
wallace-ben,1112,Ben Wallace,2000s,16,1088,5.7,9.6,1.3,1.3,2.0,47.4,13.7,41.4,130,7.2,11.2,1.3,1.5,1.9,48.2,0.0,41.8,0,5,4,1,0,https://www.nba.com/stats/player/1112/awards,https://www.nba.com/stats/player/1112/traditional?PerMode=Totals,NBA.com CDN public-source development import.
moncrief-sidney,77626,Sidney Moncrief,1980s,11,767,15.6,4.7,3.6,1.2,0.3,50.2,28.4,83.1,93,16.0,5.0,3.4,1.1,0.4,47.5,29.3,81.1,0,5,2,0,0,https://www.nba.com/stats/player/77626/awards,https://www.nba.com/stats/player/77626/traditional?PerMode=Totals,"Wikimedia Commons public domain, U.S. Department of Veterans Affairs; https://commons.wikimedia.org/wiki/File:Sidney_Moncrief_2015.jpg"
webber-chris,185,Chris Webber,2000s,15,831,20.7,9.8,4.2,1.4,1.4,47.9,29.9,64.9,80,18.7,8.7,3.6,1.1,1.1,46.4,26.9,61.1,0,5,0,0,0,https://www.nba.com/stats/player/185/awards,https://www.nba.com/stats/player/185/traditional?PerMode=Totals,NBA.com CDN public-source development import.
hill-grant,255,Grant Hill,1990s,18,1026,16.7,6.0,4.1,1.2,0.6,48.3,31.4,76.9,39,13.4,6.1,3.6,0.9,0.5,46.9,23.8,78.1,0,5,0,0,0,https://www.nba.com/stats/player/255/awards,https://www.nba.com/stats/player/255/traditional?PerMode=Totals,NBA.com CDN public-source development import.
